harga,lokasi,luas_bangunan,luas_tanah,kamar,kamar_mandi,listrik,interior,parkir,sertifikat
1975000000.0,Sleman,80,160,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1900000000.0,Sleman,80,167,3,3,3500,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
350000000.0,Yogyakarta,900,677,10,10,4400,Tak Berperabot,3.0,SHM - Sertifikat Hak Milik
335000000.0,Bantul,129,132,6,3,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
415000000.0,Sleman,140,111,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 1,25 M",Sleman,70,105,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2600000000.0,Sleman,65,110,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1150000000.0,Sleman,52,99,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 2,5 M",Sleman,280,150,4,4,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
2600000000.0,Sleman,36,76,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
Rp 389 jt,Sleman,36,75,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 1,975 M",Sleman,165,135,4,3,2200,Tak Berperabot,3.0,SHM - Sertifikat Hak Milik
"Rp 1,9 M",Sleman,180,130,4,4,2200,Tak Berperabot,2.0,SHM - Sertifikat Hak Milik
Rp 975 jt,Sleman,80,121,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
Rp 350 jt,Bantul,46,82,2,1,900,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
Rp 335 jt,Bantul,45,100,1,1,900,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
435000000.0,Bantul,45,88,2,1,900,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
3691000000.0,Bantul,45,75,2,1,900,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1800000000.0,Sleman,200,171,4,2,2200,Tak Berperabot,3.0,SHM - Sertifikat Hak Milik
"Rp 1,15 M",Sleman,160,112,4,3,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1500000000.0,Sleman,36,76,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
